Kód obce,Název obce,Voliči v seznamu,Vydané obálky,Platné hlasy,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Unie H.A.V.E.L.,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
533050,Vinařice,1 984,1 223,1 219,"8,03","0,00","0,16","7,62","0,24","3,44","10,50","1,06","1,14","1,64","0,32","0,08","11,48","0,08","0,00","3,77","35,43","0,08","0,49","0,98","0,00","0,65","0,32","0,73","11,32","0,32"
533068,Vraný,580,309,308,"5,84","0,32","0,32","8,44","0,00","6,16","11,36","0,64","1,62","2,92","0,00","0,00","9,41","0,00","0,00","1,62","35,71","0,00","0,32","4,22","0,00","0,00","0,00","0,00","11,03","0,00"
571431,Vrbičany,187,88,88,"3,40","2,27","1,13","7,95","0,00","0,00","22,72","1,13","0,00","0,00","0,00","0,00","9,09","0,00","0,00","0,00","38,63","0,00","0,00","0,00","0,00","1,13","0,00","0,00","12,50","0,00"
571598,Zájezd,92,58,57,"17,54","0,00","0,00","3,50","0,00","8,77","5,26","0,00","3,50","3,50","1,75","0,00","3,50","0,00","0,00","1,75","33,33","0,00","0,00","0,00","0,00","0,00","0,00","3,50","14,03","0,00"
533092,Zákolany,454,287,287,"10,10","0,00","0,00","6,96","0,34","11,14","11,14","1,74","0,34","1,04","0,00","0,34","13,58","0,00","0,69","5,57","21,60","0,00","0,00","3,48","0,00","1,74","0,00","0,00","10,10","0,00"
571423,Zichovec,119,105,105,"15,23","0,00","0,00","9,52","0,00","16,19","5,71","2,85","0,00","0,95","0,00","0,00","8,57","0,00","0,00","2,85","31,42","0,00","0,95","3,80","0,00","0,00","0,00","0,00","1,90","0,00"
533114,Zlonice,1 806,881,876,"7,99","0,11","0,00","6,84","0,22","4,45","11,98","1,48","1,71","1,71","0,11","0,00","6,96","0,11","0,00","2,16","35,27","0,22","0,22","1,82","0,00","0,57","0,22","0,91","14,61","0,22"
533122,Zvoleněves,701,364,364,"9,89","0,27","0,00","7,14","0,00","1,64","11,81","1,64","0,00","1,92","0,00","0,00","11,81","0,00","0,00","4,39","32,41","0,00","0,00","1,92","0,00","0,27","0,00","0,00","14,83","0,00"
599425,Želenice,151,91,91,"1,09","0,00","0,00","10,98","0,00","2,19","12,08","1,09","1,09","0,00","0,00","0,00","12,08","0,00","0,00","4,39","42,85","0,00","0,00","5,49","0,00","1,09","0,00","0,00","5,49","0,00"
533149,Žilina,645,427,425,"11,29","0,00","0,00","6,82","0,00","6,82","12,70","1,41","0,70","2,58","0,23","0,00","11,52","0,00","0,00","4,47","24,23","0,23","0,47","2,35","0,00","0,47","0,23","0,00","13,17","0,23"
533157,Žižice,487,298,296,"14,52","0,33","0,00","5,40","0,00","5,74","9,12","1,01","1,01","0,33","0,33","0,00","13,51","0,00","0,00","2,02","36,14","0,00","0,33","0,00","0,00","0,00","0,67","0,33","9,12","0,00"
